,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,popularity
0,0.568,https://api.spotify.com/v1/audio-analysis/6FRLCMO5TUHTexlWo8ym1W,0.851,235545,0.541,6FRLCMO5TUHTexlWo8ym1W,0.0,0,0.13,-6.825,1,0.0505,124.959,4,https://api.spotify.com/v1/tracks/6FRLCMO5TUHTexlWo8ym1W,audio_features,spotify:track:6FRLCMO5TUHTexlWo8ym1W,0.448,95
1,0.374,https://api.spotify.com/v1/audio-analysis/4kWO6O1BUXcZmaxitpVUwp,0.747,215760,0.834,4kWO6O1BUXcZmaxitpVUwp,0.0,3,0.0586,-2.867,0,0.045,128.005,4,https://api.spotify.com/v1/tracks/4kWO6O1BUXcZmaxitpVUwp,audio_features,spotify:track:4kWO6O1BUXcZmaxitpVUwp,0.687,93
2,0.377,https://api.spotify.com/v1/audio-analysis/32iYwQ4OYiurnGnOfJ1aEh,0.437,239947,0.481,32iYwQ4OYiurnGnOfJ1aEh,0.0,11,0.33,-9.681,0,0.237,83.606,4,https://api.spotify.com/v1/tracks/32iYwQ4OYiurnGnOfJ1aEh,audio_features,spotify:track:32iYwQ4OYiurnGnOfJ1aEh,0.216,75
3,0.162,https://api.spotify.com/v1/audio-analysis/1Nj2oBISdFDSF8eDuXcALz,0.564,165627,0.722,1Nj2oBISdFDSF8eDuXcALz,0.0,1,0.0931,-5.59,0,0.124,99.083,4,https://api.spotify.com/v1/tracks/1Nj2oBISdFDSF8eDuXcALz,audio_features,spotify:track:1Nj2oBISdFDSF8eDuXcALz,0.276,89
4,0.0236,https://api.spotify.com/v1/audio-analysis/5IaHrVsrferBYDm0bDyABy,0.884,232959,0.559,5IaHrVsrferBYDm0bDyABy,0.0,0,0.101,-7.442,1,0.12,97.994,4,https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy,audio_features,spotify:track:5IaHrVsrferBYDm0bDyABy,0.342,94
5,0.0441,https://api.spotify.com/v1/audio-analysis/6kPJZM97LwdG9QIsT7khp6,0.737,222653,0.636,6kPJZM97LwdG9QIsT7khp6,6.66e-05,11,0.35,-4.546,0,0.0437,105.005,4,https://api.spotify.com/v1/tracks/6kPJZM97LwdG9QIsT7khp6,audio_features,spotify:track:6kPJZM97LwdG9QIsT7khp6,0.565,96
6,0.0945,https://api.spotify.com/v1/audio-analysis/4hQ6UGyWQIGJmHSo0J88JW,0.601,207905,0.724,4hQ6UGyWQIGJmHSo0J88JW,1.68e-06,6,0.12,-4.856,1,0.0486,102.061,4,https://api.spotify.com/v1/tracks/4hQ6UGyWQIGJmHSo0J88JW,audio_features,spotify:track:4hQ6UGyWQIGJmHSo0J88JW,0.508,93
7,0.323,https://api.spotify.com/v1/audio-analysis/3u1S1OmAUhx5DRlLrXqyp3,0.69,194408,0.784,3u1S1OmAUhx5DRlLrXqyp3,0.0,1,0.203,-4.653,1,0.032,106.066,4,https://api.spotify.com/v1/tracks/3u1S1OmAUhx5DRlLrXqyp3,audio_features,spotify:track:3u1S1OmAUhx5DRlLrXqyp3,0.669,88
8,0.011,https://api.spotify.com/v1/audio-analysis/62GXGpd73vslqIBHq8XqOx,0.705,264853,0.762,62GXGpd73vslqIBHq8XqOx,2.37e-06,9,0.205,-6.713,1,0.217,160.05,4,https://api.spotify.com/v1/tracks/62GXGpd73vslqIBHq8XqOx,audio_features,spotify:track:62GXGpd73vslqIBHq8XqOx,0.34,77
9,0.099,https://api.spotify.com/v1/audio-analysis/58q2HKrzhC3ozto2nDdN4z,0.816,253390,0.726,58q2HKrzhC3ozto2nDdN4z,0.0,5,0.372,-3.998,0,0.129,136.048,4,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z,audio_features,spotify:track:58q2HKrzhC3ozto2nDdN4z,0.65,98
